<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.05	02:30:00	1.05133	1.05148	1.05105	1.05117	424	0	14
2024.12.05	03:00:00	1.05118	1.05120	1.05074	1.05099	829	0	14
2024.12.05	03:30:00	1.05100	1.05151	1.05100	1.05135	1004	0	14
2024.12.05	04:00:00	1.05136	1.05151	1.05099	1.05128	1211	0	14
2024.12.05	04:30:00	1.05127	1.05150	1.05083	1.05115	1334	0	14
2024.12.05	05:00:00	1.05115	1.05171	1.05098	1.05163	922	0	14
2024.12.05	05:30:00	1.05164	1.05220	1.05164	1.05192	904	0	14
2024.12.05	06:00:00	1.05193	1.05226	1.05174	1.05178	735	0	14
2024.12.05	06:30:00	1.05176	1.05225	1.05151	1.05222	606	0	14
2024.12.05	07:00:00	1.05221	1.05250	1.05209	1.05224	514	0	14
2024.12.05	07:30:00	1.05225	1.05226	1.05164	1.05175	523	0	14
2024.12.05	08:00:00	1.05176	1.05260	1.05164	1.05235	789	0	14
2024.12.05	08:30:00	1.05236	1.05281	1.05235	1.05259	1067	0	14
2024.12.05	09:00:00	1.05258	1.05291	1.05231	1.05236	850	0	14
2024.12.05	09:30:00	1.05235	1.05276	1.05222	1.05249	943	0	14
2024.12.05	10:00:00	1.05248	1.05380	1.05245	1.05288	1732	0	14
2024.12.05	10:30:00	1.05287	1.05356	1.05241	1.05347	2131	0	14
2024.12.05	11:00:00	1.05346	1.05457	1.05326	1.05426	2719	0	14
2024.12.05	11:30:00	1.05427	1.05434	1.05284	1.05294	2215	0	14
2024.12.05	12:00:00	1.05295	1.05336	1.05206	1.05225	1884	0	14
2024.12.05	12:30:00	1.05226	1.05339	1.05211	1.05271	1886	0	14
2024.12.05	13:00:00	1.05269	1.05346	1.05258	1.05287	1757	0	14
2024.12.05	13:30:00	1.05286	1.05304	1.05244	1.05254	1538	0	14
2024.12.05	14:00:00	1.05255	1.05280	1.05227	1.05247	1180	0	14
2024.12.05	14:30:00	1.05246	1.05374	1.05245	1.05358	1482	0	14
2024.12.05	15:00:00	1.05357	1.05380	1.05231	1.05284	1799	0	14
2024.12.05	15:30:00	1.05283	1.05380	1.05270	1.05361	2341	0	14
2024.12.05	16:00:00	1.05362	1.05489	1.05325	1.05450	2998	0	14
2024.12.05	16:30:00	1.05452	1.05676	1.05452	1.05663	5990	0	14
2024.12.05	17:00:00	1.05664	1.05791	1.05651	1.05788	4188	0	14
2024.12.05	17:30:00	1.05787	1.05889	1.05745	1.05748	3993	0	14
2024.12.05	18:00:00	1.05746	1.05792	1.05537	1.05561	3777	0	14
2024.12.05	18:30:00	1.05560	1.05756	1.05501	1.05716	3626	0	14
2024.12.05	19:00:00	1.05713	1.05777	1.05642	1.05703	3329	0	14
2024.12.05	19:30:00	1.05704	1.05719	1.05641	1.05696	2436	0	14
2024.12.05	20:00:00	1.05697	1.05740	1.05585	1.05599	2159	0	14
2024.12.05	20:30:00	1.05600	1.05692	1.05568	1.05668	2180	0	14
2024.12.05	21:00:00	1.05669	1.05691	1.05563	1.05581	1608	0	14
2024.12.05	21:30:00	1.05582	1.05680	1.05565	1.05674	1623	0	14
2024.12.05	22:00:00	1.05676	1.05791	1.05676	1.05774	2255	0	14
2024.12.05	22:30:00	1.05775	1.05879	1.05766	1.05867	1674	0	14
2024.12.05	23:00:00	1.05868	1.05868	1.05819	1.05862	1393	0	14
2024.12.05	23:30:00	1.05863	1.05875	1.05808	1.05808	1107	0	14
2024.12.06	00:00:00	1.05853	1.05873	1.05833	1.05870	464	0	14
2024.12.06	00:30:00	1.05870	1.05878	1.05842	1.05842	420	0	14
2024.12.06	01:00:00	1.05842	1.05884	1.05816	1.05877	168	0	14
2024.12.06	01:30:00	1.05876	1.05877	1.05823	1.05865	557	0	14
2024.12.06	02:00:00	1.05865	1.05874	1.05834	1.05850	432	0	14
2024.12.06	02:30:00	1.05849	1.05863	1.05832	1.05857	315	0	14
2024.12.06	03:00:00	1.05858	1.05858	1.05776	1.05795	979	0	14
2024.12.06	03:30:00	1.05796	1.05816	1.05758	1.05765	949	0	14
2024.12.06	04:00:00	1.05766	1.05775	1.05712	1.05725	1232	0	14
2024.12.06	04:30:00	1.05724	1.05732	1.05653	1.05680	1561	0	14
2024.12.06	05:00:00	1.05680	1.05745	1.05676	1.05734	1422	0	14
2024.12.06	05:30:00	1.05733	1.05776	1.05727	1.05762	1104	0	14
2024.12.06	06:00:00	1.05763	1.05796	1.05744	1.05748	1249	0	14
2024.12.06	06:30:00	1.05749	1.05760	1.05722	1.05753	1030	0	14
2024.12.06	07:00:00	1.05752	1.05764	1.05734	1.05739	805	0	14
2024.12.06	07:30:00	1.05740	1.05747	1.05718	1.05746	654	0	14
2024.12.06	08:00:00	1.05747	1.05747	1.05682	1.05714	685	0	14
